ds,yhat,yhat_lower,yhat_upper
2017-08-16,741743.4700198116,644373.1438425697,862643.5513430265
2017-08-17,631633.7783845606,541625.8865570028,728696.9443269513
2017-08-18,740190.1274479177,641784.750547412,859450.787068196
2017-08-19,949661.6363586461,817063.9072127265,1100718.380478271
2017-08-20,1021512.8758940789,888192.8397958383,1187341.199590757
2017-08-21,779762.5483422128,672021.9326529861,904936.2968096079
2017-08-22,724010.634241467,622161.7404747185,842137.4719030762
2017-08-23,757698.8766689083,657292.0895415784,885055.8069332283
2017-08-24,658422.8988836199,567263.4310636789,755498.9193640841
2017-08-25,775776.5038787465,673011.0720273755,897455.5652875751
2017-08-26,972442.3916273392,836523.3470229167,1115981.430529904
2017-08-27,1047906.6890654425,908277.3376686561,1218770.11743771
2017-08-28,818298.4440631488,705988.0718656577,934957.0219404814
2017-08-29,768311.7205602177,655999.2248075744,884969.2909010547
2017-08-30,800005.2300493106,692583.0578859011,923275.4078113094
2017-08-31,691485.4679043303,600278.8889192735,795303.9366912061
2017-09-01,811302.6382673348,694466.8249473749,943048.8491564636
2017-09-02,1020677.5467924983,878226.333635558,1195201.3655859216
2017-09-03,1095697.4320917742,943531.5786900063,1264089.0992887286
2017-09-04,846124.0759375328,718492.98432639,981591.6490792857
2017-09-05,787123.9146450707,683298.6652474919,910689.6865050071
2017-09-06,817187.1611462072,702265.4861303059,945763.8239906677
2017-09-07,768320.090076827,662167.9981341212,883261.1889260218
2017-09-08,824573.2198012277,706857.5351807731,954325.4278937901
2017-09-09,1028855.169614154,879482.8945807432,1192289.0303407516
2017-09-10,1101370.4613462845,945974.3500229397,1282640.2223305597
2017-09-11,851572.4450073842,737641.2731507358,989909.9714929967
2017-09-12,792059.1522394576,687020.7380836769,926063.9883839608
2017-09-13,819582.2096771316,705386.9205227635,947605.2747690935
2017-09-14,705849.8237918637,611052.647703899,810166.0736788091
2017-09-15,824666.4163314432,713108.1290786982,958742.7917800737
2017-09-16,1031949.632829587,886446.4564579842,1192268.9053504854
2017-09-17,1099290.5959310294,943372.0721545367,1275647.106756287
2017-09-18,836445.3966780648,717737.8379939506,979082.5826979906
2017-09-19,776303.5295186202,662811.9426633569,905212.2878432283
